Loading files for NASBench201...
Normalizing ZCP dict
try to create the NAS-Bench-201 api from /home/ya255/projects/flan_hardware/nas_embedding_suite/embedding_datasets/NAS-Bench-201-v1_1-096897.pth
Loaded files in:  160.99514484405518  seconds
Loading cache for NASBench-201 speedup!!...
Loading cache for NASBench-201 speedup!!...
Epoch 31/150 | Train Loss: 0.0822 | Epoch Time: 0.01s | Spearman@80: 0.1385 | Kendall@80: 0.0873
Epoch 32/150 | Train Loss: 0.0524 | Epoch Time: 0.01s | Spearman@80: 0.1385 | Kendall@80: 0.0873
Epoch 33/150 | Train Loss: 0.0707 | Epoch Time: 0.01s | Spearman@80: 0.1385 | Kendall@80: 0.0873
Epoch 34/150 | Train Loss: 0.1107 | Epoch Time: 0.01s | Spearman@80: 0.1385 | Kendall@80: 0.0873
Epoch 35/150 | Train Loss: 0.1233 | Epoch Time: 0.01s | Spearman@80: 0.1393 | Kendall@80: 0.0880
Epoch 36/150 | Train Loss: 0.0986 | Epoch Time: 0.01s | Spearman@80: 0.1385 | Kendall@80: 0.0873
Epoch 37/150 | Train Loss: 0.0606 | Epoch Time: 0.01s | Spearman@80: 0.1385 | Kendall@80: 0.0873
Epoch 38/150 | Train Loss: 0.0609 | Epoch Time: 0.01s | Spearman@80: 0.1385 | Kendall@80: 0.0873
Epoch 39/150 | Train Loss: 0.0700 | Epoch Time: 0.01s | Spearman@80: 0.1385 | Kendall@80: 0.0873
Epoch 40/150 | Train Loss: 0.0672 | Epoch Time: 0.01s | Spearman@80: 0.1379 | Kendall@80: 0.0867
Epoch 41/150 | Train Loss: 0.0783 | Epoch Time: 0.01s | Spearman@80: 0.1639 | Kendall@80: 0.1025
Epoch 42/150 | Train Loss: 0.0632 | Epoch Time: 0.01s | Spearman@80: 0.1385 | Kendall@80: 0.0873
Epoch 43/150 | Train Loss: 0.1061 | Epoch Time: 0.01s | Spearman@80: 0.1451 | Kendall@80: 0.0848
Epoch 44/150 | Train Loss: 0.0648 | Epoch Time: 0.01s | Spearman@80: -0.1367 | Kendall@80: -0.0905
Epoch 45/150 | Train Loss: 0.0987 | Epoch Time: 0.01s | Spearman@80: 0.0856 | Kendall@80: 0.0639
Epoch 46/150 | Train Loss: 0.0450 | Epoch Time: 0.01s | Spearman@80: -0.1681 | Kendall@80: -0.1120
Epoch 47/150 | Train Loss: 0.1309 | Epoch Time: 0.01s | Spearman@80: -0.1406 | Kendall@80: -0.0886
Epoch 48/150 | Train Loss: 0.0434 | Epoch Time: 0.01s | Spearman@80: -0.0904 | Kendall@80: -0.0582
Epoch 49/150 | Train Loss: 0.0527 | Epoch Time: 0.01s | Spearman@80: -0.1416 | Kendall@80: -0.0873
Epoch 50/150 | Train Loss: 0.0545 | Epoch Time: 0.01s | Spearman@80: 0.0168 | Kendall@80: 0.0133
Epoch 51/150 | Train Loss: 0.1327 | Epoch Time: 0.01s | Spearman@80: 0.0812 | Kendall@80: 0.0601
Epoch 52/150 | Train Loss: 0.0497 | Epoch Time: 0.01s | Spearman@80: -0.1371 | Kendall@80: -0.0861
Epoch 53/150 | Train Loss: 0.0667 | Epoch Time: 0.01s | Spearman@80: -0.1607 | Kendall@80: -0.1086
